Time,Category,Message,
7/28/2026 12:17:28 AM,Order,Order='da9326f1763f4017864da424f86cbcbd/Sim101' Name='PTT-BE-Stop-1' New state='Filled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7437.5 Quantity=6 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-0' Filled=6 Fill price=7437.5 Error='No error' Native error='',
7/28/2026 12:17:28 AM,Order,Order='6897f116825b4b7ab7205b80b5e58a63/Sim101' Name='PTT-BE-Stop-2' New state='Working' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7437.5 Quantity=7 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:28 AM,Order,Order='da9326f1763f4017864da424f86cbcbd/Sim101' Name='PTT-BE-Stop-1' New state='Working' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7437.5 Quantity=6 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='0c23fff9678e4e239a623935b938bb76/Sim101' Name='PTT-BE-Target-2' New state='Working' Instrument='MES SEP26' Action='Sell' Limit price=7440.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='0c23fff9678e4e239a623935b938bb76/Sim101' Name='PTT-BE-Target-2' New state='Accepted' Instrument='MES SEP26' Action='Sell' Limit price=7440.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='6897f116825b4b7ab7205b80b5e58a63/Sim101' Name='PTT-BE-Stop-2' New state='Accepted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7437.5 Quantity=7 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='e0b7ac3043b446819f679fa1084fb90c/Sim101' Name='PTT-BE-Target-1' New state='Working' Instrument='MES SEP26' Action='Sell' Limit price=7440 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='e0b7ac3043b446819f679fa1084fb90c/Sim101' Name='PTT-BE-Target-1' New state='Accepted' Instrument='MES SEP26' Action='Sell' Limit price=7440 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='da9326f1763f4017864da424f86cbcbd/Sim101' Name='PTT-BE-Stop-1' New state='Accepted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7437.5 Quantity=6 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='852abe5d1c6348a288215e7db771aa96/Sim101' Name='Target2' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7440.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='ec9b15c072dd460a8d40c758003cf62e' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='58964b24d89d4b57bff4dce8716e0451/Sim101' Name='Stop2' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7431.5 Quantity=7 Type='Stop Market' Time in force=GTC Oco='ec9b15c072dd460a8d40c758003cf62e' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='1e59ea667a524791a9e6e38cf3276fe6/Sim101' Name='Stop1' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7431.5 Quantity=6 Type='Stop Market' Time in force=GTC Oco='d7d8798f26b84c659826500496047dcc' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='7cbc95f234434d849880dc6fddabf371/Sim101' Name='Target1' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7440 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='d7d8798f26b84c659826500496047dcc' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='0c23fff9678e4e239a623935b938bb76/Sim101' Name='PTT-BE-Target-2' New state='Submitted' Instrument='MES SEP26' Action='Sell' Limit price=7440.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='6897f116825b4b7ab7205b80b5e58a63/Sim101' Name='PTT-BE-Stop-2' New state='Submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7437.5 Quantity=7 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='e0b7ac3043b446819f679fa1084fb90c/Sim101' Name='PTT-BE-Target-1' New state='Submitted' Instrument='MES SEP26' Action='Sell' Limit price=7440 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='da9326f1763f4017864da424f86cbcbd/Sim101' Name='PTT-BE-Stop-1' New state='Submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7437.5 Quantity=6 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='852abe5d1c6348a288215e7db771aa96/Sim101' Name='Target2' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=7440.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='ec9b15c072dd460a8d40c758003cf62e' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='7cbc95f234434d849880dc6fddabf371/Sim101' Name='Target1' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=7440 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='d7d8798f26b84c659826500496047dcc' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='58964b24d89d4b57bff4dce8716e0451/Sim101' Name='Stop2' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7431.5 Quantity=7 Type='Stop Market' Time in force=GTC Oco='ec9b15c072dd460a8d40c758003cf62e' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:23 AM,Order,Order='1e59ea667a524791a9e6e38cf3276fe6/Sim101' Name='Stop1' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7431.5 Quantity=6 Type='Stop Market' Time in force=GTC Oco='d7d8798f26b84c659826500496047dcc' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:17 AM,Order,Order='5a7c232cf0764504b72a9f9f9ec9b18b/Sim102' Name='Target2' New state='Working' Instrument='MES SEP26' Action='Buy to cover' Limit price=7434.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='7cebd081196546c78ba5bf91665258c4' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:17 AM,Order,Order='5a7c232cf0764504b72a9f9f9ec9b18b/Sim102' Name='Target2' New state='Accepted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7434.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='7cebd081196546c78ba5bf91665258c4' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:17 AM,Order,Order='c5f03c759c6244d4896e9c71323299d9/Sim102' Name='Stop2' New state='Accepted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7443.5 Quantity=7 Type='Stop Market' Time in force=GTC Oco='7cebd081196546c78ba5bf91665258c4' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:17 AM,Order,Order='70c4956937774d688896da07f18ecbdd/Sim102' Name='Target1' New state='Working' Instrument='MES SEP26' Action='Buy to cover' Limit price=7435 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='ae68e9f915a34b0bada5f7a586ca1afb' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:17 AM,Order,Order='70c4956937774d688896da07f18ecbdd/Sim102' Name='Target1' New state='Accepted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7435 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='ae68e9f915a34b0bada5f7a586ca1afb' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:17 AM,Order,Order='e3160854358f490ab92049d613e8b28d/Sim102' Name='Stop1' New state='Accepted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7443.5 Quantity=6 Type='Stop Market' Time in force=GTC Oco='ae68e9f915a34b0bada5f7a586ca1afb' Filled=0 Fill price=0 Error='No error' Native error='',
